n=32
1 runs
10.0 mpbMax
2.0 cutFactor
0 SearchOnset
liveGraphics false
>>>
stress:200  gainmoves:94   zeromoves:0
stress:100  gainmoves:144   zeromoves:21
stress:98  gainmoves:145   zeromoves:21
stress:96  gainmoves:146   zeromoves:22
stress:94  gainmoves:147   zeromoves:23
stress:92  gainmoves:148   zeromoves:25
stress:90  gainmoves:149   zeromoves:26
stress:88  gainmoves:150   zeromoves:26
stress:86  gainmoves:151   zeromoves:29
stress:84  gainmoves:152   zeromoves:30
stress:82  gainmoves:153   zeromoves:33
stress:80  gainmoves:154   zeromoves:33
stress:78  gainmoves:155   zeromoves:37
stress:76  gainmoves:156   zeromoves:44
stress:74  gainmoves:157   zeromoves:47
stress:72  gainmoves:158   zeromoves:50
stress:70  gainmoves:159   zeromoves:56
stress:68  gainmoves:160   zeromoves:57
stress:66  gainmoves:161   zeromoves:57
stress:64  gainmoves:162   zeromoves:61
stress:62  gainmoves:163   zeromoves:62
stress:60  gainmoves:164   zeromoves:80
stress:58  gainmoves:165   zeromoves:84
stress:56  gainmoves:166   zeromoves:85
stress:54  gainmoves:167   zeromoves:91
stress:52  gainmoves:168   zeromoves:106
stress:50  gainmoves:169   zeromoves:108
stress:48  gainmoves:170   zeromoves:114
stress:46  gainmoves:171   zeromoves:134
stress:44  gainmoves:172   zeromoves:139
stress:42  gainmoves:173   zeromoves:141
stress:40  gainmoves:174   zeromoves:155
stress:38  gainmoves:175   zeromoves:159
stress:36  gainmoves:176   zeromoves:166
stress:34  gainmoves:177   zeromoves:176
stress:32  gainmoves:178   zeromoves:178
stress:30  gainmoves:179   zeromoves:182
stress:28  gainmoves:180   zeromoves:184
stress:26  gainmoves:181   zeromoves:190
stress:24  gainmoves:182   zeromoves:218
stress:22  gainmoves:183   zeromoves:242
stress:20  gainmoves:184   zeromoves:245
stress:18  gainmoves:185   zeromoves:336
stress:16  gainmoves:186   zeromoves:402
stress:14  gainmoves:187   zeromoves:432
stress:12  gainmoves:188   zeromoves:448
stress:10  gainmoves:189   zeromoves:463
stress:8  gainmoves:190   zeromoves:491
stress:6  gainmoves:191   zeromoves:502
stress:4  gainmoves:192   zeromoves:715
stress:2  gainmoves:193   zeromoves:744
stress:0  gainmoves:194   zeromoves:1115

total dur: 0.032 s
solved n=32
SingleSol   0.032 s
failRatio   0.0


